ChannelTitle=	Vol. Pulse	Blood Flow	ECG	
0.83	-0.69	-3.684	-20.4	
0.835	-0.7	-3.771	-25.2	
0.84	-0.72	-3.48	-14.7	
0.845	-0.73	-3.353	-25	
0.85	-0.74	-3.58	-36.8	
0.855	-0.76	-3.436	-20.7	
0.86	-0.77	-3.117	-24.7	
0.865	-0.78	-3.249	-30	
0.87	-0.8	-3.331	-36.1	
0.875	-0.81	-3.142	-39.6	
0.88	-0.82	-3.311	-42.9	
0.885	-0.83	-3.536	-36.4	
0.89	-0.85	-3.229	-17.1	
0.895	-0.86	-2.987	-17.2	
0.9	-0.87	-3.063	-16.9	
0.905	-0.88	-2.819	-5.3	
0.91	-0.89	-2.489	-10.3	
0.915	-0.9	-2.63	-28.7	
0.92	-0.91	-2.686	-23.8	
0.925	-0.92	-2.426	-23.3	
0.93	-0.92	-2.496	-39.9	
0.935	-0.93	-2.659	-43.7	
0.94	-0.94	-2.376	-33.3	
0.945	-0.95	-2.236	-26.5	
0.95	-0.96	-2.493	-20.3	
0.955	-0.96	-2.473	-12.5	
0.96	-0.97	-2.386	-18.6	
0.965	-0.98	-2.774	-32.1	
0.97	-0.99	-3.073	-32.3	
0.975	-1	-3.057	-30.3	
0.98	-1.01	-3.363	-36.8	
0.985	-1.03	-3.758	-28.1	
0.99	-1.04	-3.691	-10.1	
0.995	-1.05	-3.674	-3.2	
1	-1.07	-3.877	-13.5	
1.005	-1.08	-3.623	-29.3	
1.01	-1.09	-3.172	-15.2	
1.015	-1.1	-3.159	-2.4	
1.02	-1.12	-3.119	-13.9	
1.025	-1.12	-2.888	-18.3	
1.03	-1.13	-3.109	-11.4	
1.035	-1.15	-3.471	-5.2	
1.04	-1.16	-3.314	-21.8	
1.045	-1.17	-3.152	-21.3	
1.05	-1.18	-3.258	-4.4	
1.055	-1.19	-3.011	-15.9	
1.06	-1.2	-2.666	-24.4	
1.065	-1.21	-2.798	-22.5	
1.07	-1.22	-2.851	-19.9	
1.075	-1.22	-2.611	0.9	
1.08	-1.23	-2.789	21.4	
1.085	-1.24	-3.192	43.3	
1.09	-1.25	-3.198	51.7	
1.095	-1.26	-3.294	26.7	
1.1	-1.27	-3.704	18.4	
1.105	-1.28	-3.728	30.9	
1.11	-1.3	-3.571	25.1	
1.115	-1.31	-3.824	7.6	
1.12	-1.32	-3.925	2.8	
1.125	-1.34	-3.661	-3.6	
1.13	-1.35	-3.726	-16.2	
1.135	-1.36	-3.879	-18.5	
1.14	-1.37	-3.595	-13.5	
1.145	-1.38	-3.477	-13	
1.15	-1.4	-3.739	-17.7	
1.155	-1.41	-3.671	-26.7	
1.16	-1.42	-3.445	-12.8	
1.165	-1.43	-3.599	-2.8	
1.17	-1.44	-3.607	-18.2	
1.175	-1.45	-3.283	-20.7	
1.18	-1.46	-3.3	-34.7	
1.185	-1.47	-3.479	-49	
1.19	-1.48	-3.282	-37.6	
1.195	-1.49	-3.236	-12.7	
1.2	-1.5	-3.503	8.9	
1.205	-1.51	-3.356	-19.4	#3 Resting Heartrate 
1.21	-1.52	-3.024	-47	
1.215	-1.53	-3.103	15.3	
1.22	-1.54	-3.066	156.8	
1.225	-1.55	-2.724	381.5	
1.23	-1.55	-2.802	630.3	
1.235	-1.56	-3.094	735.9	
1.24	-1.57	-3.003	687.3	
1.245	-1.58	-3.056	548.8	
1.25	-1.59	-3.434	255.3	
1.255	-1.6	-3.386	-11.8	
1.26	-1.6	-3.113	-56.6	
1.265	-1.61	-3.214	-36.4	
1.27	-1.62	-3.138	-28.3	
1.275	-1.63	-2.692	-40.5	
1.28	-1.63	-2.594	-58.9	
1.285	-1.64	-2.673	-52	
1.29	-1.65	-2.406	-39.7	
1.295	-1.65	-2.358	-46.3	
1.3	-1.65	-2.771	-57.8	
1.305	-1.66	-2.9	-45.3	
1.31	-1.67	-2.876	-44.8	
1.315	-1.68	-3.253	-37.7	
1.32	-1.69	-3.514	-33.9	
1.325	-1.69	-3.422	-60.7	
1.33	-1.7	-3.594	-57.2	
1.335	-1.72	-3.777	-50.7	
1.34	-1.73	-3.372	-38.1	
1.345	-1.73	-2.986	-9.7	
1.35	-1.74	-2.962	-13.6	
1.355	-1.75	-2.671	-14	
1.36	-1.75	-2.348	-19	
1.365	-1.75	-2.557	-42.8	
