Interval=	0.005 s
ExcelDateTime=	4.4476799837398881e+004	10/7/2021 19:11:45.951264
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Vol. Pulse	Blood Flow	ECG
Range=	20.00 mV.s	200.0 mV	500.0 µV
0.85	-0.99	20.8	34.9
0.855	-0.88	21.8	78.4
0.86	-0.76	22.4	59.9
0.865	-0.65	22.1	-9.3
0.87	-0.54	21.1	15.8
0.875	-0.43	19.5	48.3
0.88	-0.34	17.4	-9.6
0.885	-0.26	15.0	-13.7
0.89	-0.19	12.5	35.4
0.895	-0.13	9.6	-2.0
0.9	-0.09	6.7	-37.3
0.905	-0.06	4.2	10.0
0.91	-0.05	2.1	7.0
0.915	-0.04	0.2	-42.0
0.92	-0.04	-1.2	-8.8
0.925	-0.05	-2.3	22.2
0.93	-0.07	-3.3	-31.5
0.935	-0.09	-4.1	-38.1
0.94	-0.11	-4.5	15.4
0.945	-0.13	-5.1	-14.1
0.95	-0.16	-5.8	-56.8
0.955	-0.19	-6.3	2.0
0.96	-0.22	-6.8	12.7
0.965	-0.25	-7.2	-48.2
0.97	-0.29	-7.3	-19.9
0.975	-0.32	-7.1	11.7
0.98	-0.36	-7.2	-37.1
0.985	-0.39	-7.1	-31.1
0.99	-0.42	-7.0	19.5
0.995	-0.46	-7.1	-7.8
1	-0.49	-7.4	-37.3
1.005	-0.53	-7.5	11.9
1.01	-0.56	-7.6	7.2
1.015	-0.60	-7.8	-49.0
1.02	-0.63	-7.8	1.1
1.025	-0.67	-7.8	41.1
1.03	-0.71	-7.8	-23.5
1.035	-0.74	-7.8	-24.6
1.04	-0.78	-7.8	24.9
1.045	-0.81	-8.1	-7.7
1.05	-0.85	-8.4	-32.1
1.055	-0.89	-8.2	17.9
1.06	-0.92	-7.9	17.1
1.065	-0.96	-7.3	-29.1
1.07	-0.99	-6.2	-1.4
1.075	-1.01	-5.0	21.5
1.08	-1.03	-3.9	-21.9
1.085	-1.04	-2.9	-16.7
1.09	-1.05	-2.0	28.1
1.095	-1.05	-1.3	6.3
1.1	-1.05	-0.9	-18.7
1.105	-1.05	-0.5	17.0
1.11	-1.05	-0.3	17.4
1.115	-1.04	-0.3	-18.5
1.12	-1.04	-0.0	3.9
1.125	-1.03	0.5	26.2
1.13	-1.02	1.1	-16.4
1.135	-1.01	1.6	-11.1
1.14	-1.00	2.2	31.3
1.145	-0.98	2.3	0.4
1.15	-0.97	2.1	-22.3
1.155	-0.95	1.9	19.9
1.16	-0.94	1.5	19.5
1.165	-0.93	1.0	-21.4
1.17	-0.92	0.7	4.9
1.175	-0.92	0.7	26.9
1.18	-0.91	0.7	-14.5
1.185	-0.90	0.8	-9.1
1.19	-0.89	0.9	27.0
1.195	-0.88	0.7	0.1
1.2	-0.88	0.1	-21.5
1.205	-0.87	-0.4	7.7
1.21	-0.87	-0.8	6.6
1.215	-0.87	-1.3	-10.5
1.22	-0.88	-1.5	30.7
1.225	-0.88	-1.6	60.4
1.23	-0.89	-1.8	10.0
1.235	-0.89	-1.9	-7.6
1.24	-0.90	-2.0	31.4
1.245	-0.90	-2.4	25.9
1.25	-0.91	-3.1	29.9
1.255	-0.93	-3.7	74.1
1.26	-0.94	-4.1	61.6
1.265	-0.96	-4.3	25.2
1.27	-0.97	-4.0	55.2
1.275	-0.99	-3.5	73.1
1.28	-1.00	-3.3	41.6
1.285	-1.01	-3.1	40.8
1.29	-1.02	-3.1	70.2
1.295	-1.03	-3.2	53.3
1.3	-1.04	-3.2	14.8
1.305	-1.06	-2.9	32.9
1.31	-1.06	-2.8	25.5
1.315	-1.07	-3.1	-19.0
1.32	-1.09	-3.3	4.4
1.325	-1.10	-3.3	34.7
1.33	-1.11	-3.4	-6.9
1.335	-1.12	-3.3	-13.6
1.34	-1.13	-3.1	24.1
1.345	-1.14	-3.2	-2.2
1.35	-1.15	-3.4	-22.7
1.355	-1.16	-3.2	14.3
1.36	-1.18	-3.1	5.1
1.365	-1.19	-3.1	-36.5
1.37	-1.20	-3.0	-5.1
1.375	-1.20	-3.0	17.5
1.38	-1.21	-3.0	-24.8
1.385	-1.22	-2.9	-21.9
1.39	-1.23	-2.6	1.0
1.395	-1.24	-2.3	-28.2
1.4	-1.24	-2.1	-14.5
1.405	-1.25	-2.0	67.1
1.41	-1.25	-1.8	134.8
